Filename,Path,Price,Partname,MOD,Mass,PROFILE,kgCO2eq,
Size2-Mk2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/adapterTanks/Size2-Mk2.cfg,432.8,adapterSize2-Mk2,Squad,0.57,Tank,1185.6,
Size2-Size1.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/adapterTanks/Size2-Size1.cfg,432.8,adapterSize2-Size1,Squad,0.57,Tank,1185.6,
Size2-Size1Slant.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/adapterTanks/Size2-Size1Slant.cfg,432.8,adapterSize2-Size1Slant,Squad,0.57,Tank,1185.6,
Size3-Mk3.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/adapterTanks/Size3-Mk3.cfg,1352.5,adapterSize3-Mk3,Squad,1.79,Tank,3723.2,
adapterSmallMiniShort.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Structural/FLAdapters/adapterSmallMiniShort.cfg,100,adapterSmallMiniShort,Squad,0.04,Structural,83.2,
adapterSmallMiniShort.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Structural/adapterSmallMiniShort_v1/adapterSmallMiniShort.cfg,100,adapterSmallMiniShort,Squad,0.04,Structural,-1,
adapterSmallMiniTall.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Structural/FLAdapters/adapterSmallMiniTall.cfg,150,adapterSmallMiniTall,Squad,0.05,Structural,104,
adapterSmallMiniTall.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Structural/adapterSmallMiniTall_v1/adapterSmallMiniTall.cfg,150,adapterSmallMiniTall,Squad,0.05,Structural,-1,
advancedCanard.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/airplaneFins/advancedCanard.cfg,800,AdvancedCanard,Squad,0.08,Wing,713.8,
inlineAdvancedStabilizer.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Command/inlineAdvancedStabilizer/inlineAdvancedStabilizer.cfg,1200,advSasModule,Squad,0.1,Wing,892.25,
Airbrake.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/airbrake/Airbrake.cfg,1000,airbrake1,Squad,0.05,Wing,446.125,
ControlSurface.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/airlinerWings/ControlSurface.cfg,800,airlinerCtrlSrf,Squad,0.17,Wing,1516.825,
MainWing.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/airlinerWings/MainWing.cfg,2320,airlinerMainWing,Squad,0.78,Wing,6959.55,
TailFin.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/airlinerWings/TailFin.cfg,1000,airlinerTailFin,Squad,0.36,Wing,3212.1,
tailConnectorA.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/cones/tailConnectorA.cfg,675,airplaneTail,Squad,0.2,Nosecone,1784.5,
tailConnectorB.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/cones/tailConnectorB.cfg,675,airplaneTailB,Squad,0.2,Nosecone,1784.5,
airIntakeRadialXM-G50.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/airIntakeRadialXM-G50/airIntakeRadialXM-G50.cfg,250,airScoop,Squad,0.02,Intake,178.45,
advSasModuleLarge.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Command/advancedSasModuleLarge/advSasModuleLarge.cfg,2100,asasmodule1-2,Squad,0.2,Probe,10335.91731,
avionicsNoseCone.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/cones/avionicsNoseCone.cfg,5200,avionicsNoseCone,Squad,0.08,Nosecone,713.8,
basicFin.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/basicFin/basicFin.cfg,25,basicFin,Squad,0.01,Wing,89.225,
z-1kBattery.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Electrical/z-1kBattery/z-1kBattery.cfg,880,batteryBank,Squad,0.05,Battery,2583.979328,
z-4kBattery.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Electrical/z-4kBattery/z-4kBattery.cfg,4500,batteryBankLarge,Squad,0.2,Battery,10335.91731,
z-200Battery.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Electrical/z-200Battery/z-200Battery.cfg,360,batteryBankMini,Squad,0.01,Battery,516.7958656,
z-100Battery.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Electrical/z-100Battery/z-100Battery.cfg,80,batteryPack,Squad,0.005,Battery,258.3979328,
standardCanard.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/airplaneFins/standardCanard.cfg,720,CanardController,Squad,0.1,Wing,892.25,
cargoContainer.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Cargo/CargoContainers/cargoContainer.cfg,600,cargoContainer,Squad,0.15,Service Bay,312,
CargoStorageUnit.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Cargo/StorageUnits/CargoStorageUnit.cfg,1500,CargoStorageUnit,Squad,0.4,Service Bay,832,
circularIntake.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/circularIntake/circularIntake.cfg,680,CircularIntake,Squad,0.04,Intake,356.9,
solidBoosterS2-33.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Engine/solidBoosterS2-33/solidBoosterS2-33.cfg,8660,Clydesdale,Squad,21,Booster,69719.78295,
commDish88-88.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/commDish88-88/commDish88-88.cfg,1500,commDish,Squad,0.1,Antenna,2687.979328,
ConformalStorageUnit.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Cargo/StorageUnits/ConformalStorageUnit.cfg,100,ConformalStorageUnit,Squad,0.02,Structural,41.6,
KAL1000.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/Robotics/Controllers/KAL1000.cfg,1000,controller1000,SquadExpansion,0.01,Controller,516.7958656,
hitchikerStorageContainer.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Command/hitchhikerStorageContainer/hitchikerStorageContainer.cfg,4000,crewCabin,Squad,2.25,Structural,4680,
cupola.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Command/cupola/cupola.cfg,1588,cupola,Squad,0.94,Pod,13611.10284,
Decoupler_0.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Coupling/Decoupler_0.cfg,150,Decoupler_0,Squad,0.01,Decoupler,119.9991731,
Decoupler_1.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Coupling/Decoupler_1.cfg,200,Decoupler_1,Squad,0.04,Decoupler,479.9966925,
Decoupler_1p5.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Coupling/Decoupler_1p5.cfg,250,Decoupler_1p5,SquadExpansion,0.09,Decoupler,1079.992558,
Decoupler_2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Coupling/Decoupler_2.cfg,300,Decoupler_2,Squad,0.16,Decoupler,1919.98677,
Decoupler_3.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Coupling/Decoupler_3.cfg,375,Decoupler_3,Squad,0.36,Decoupler,4319.970233,
Decoupler_4.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Coupling/Decoupler_4.cfg,450,Decoupler_4,SquadExpansion,0.64,Decoupler,7679.94708,
decouplerStack2m.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Utility/decouplerStack2m/decouplerStack2m.cfg,550,decoupler1-2,Squad,0.4,Decoupler,-1,
delta_small.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/wings/delta_small.cfg,200,delta_small,Squad,0.05,Wing,446.125,
delta.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/wings/delta.cfg,600,deltaWing,Squad,0.2,Wing,1784.5,
centralStation.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/DeployedScience/centralStation.cfg,800,DeployedCentralStation,SquadExpansion,0.05,Science Device,1408.244832,
gooObservation.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/DeployedScience/gooObservation.cfg,1000,DeployedGoExOb,SquadExpansion,0.04,Science Device,1126.595866,
ionCollector.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/DeployedScience/ionCollector.cfg,7000,DeployedIONExp,SquadExpansion,0.025,Science Device,704.122416,
rtg.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/DeployedScience/rtg.cfg,10000,DeployedRTG,SquadExpansion,0.04,RTG,-1,
satDish.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/DeployedScience/satDish.cfg,1000,DeployedSatDish,SquadExpansion,0.035,Antenna,940.7927649,
seismicSensor.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/DeployedScience/seismicSensor.cfg,4000,DeployedSeismicSensor,SquadExpansion,0.035,Science Device,985.7713824,
solarPanel.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/DeployedScience/solarPanel.cfg,300,DeployedSolarPanel,SquadExpansion,0.015,Solar Panel,403.1968992,
weatherStation.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/DeployedScience/weatherStation.cfg,1300,DeployedWeatherStn,SquadExpansion,0.06,Science Device,1689.893798,
dockingPortShielded.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/dockingPortShielded/dockingPortShielded.cfg,400,dockingPort1,Squad,0.1,Docking port,208,
dockingPortShielded.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Utility/dockingPortShielded_v1/dockingPortShielded.cfg,400,dockingPort1,Squad,0.1,Docking port,-1,
dockingPort.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/dockingPort/dockingPort.cfg,280,dockingPort2,Squad,0.05,Docking port,104,
dockingPort.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Utility/dockingPort_v1/dockingPort.cfg,280,dockingPort2,Squad,0.05,Docking port,-1,
dockingPortJr.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/dockingPortJr/dockingPortJr.cfg,800,dockingPort3,Squad,0.02,Docking port,41.6,
dockingPortJr.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Utility/dockingPortJr_v1/dockingPortJr.cfg,800,dockingPort3,Squad,0.02,Docking port,-1,
dockingPortSr.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/dockingPortSr/dockingPortSr.cfg,980,dockingPortLarge,Squad,0.2,Docking port,416,
dockingPortSr.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Utility/dockingPortSr_v1/dockingPortSr.cfg,980,dockingPortLarge,Squad,0.2,Docking port,-1,
dockingPortInline.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/dockingPortInline/dockingPortInline.cfg,700,dockingPortLateral,Squad,0.3,Docking port,624,
dockingPortInline.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Utility/dockingPortInline_v1/dockingPortInline.cfg,700,dockingPortLateral,Squad,0.3,Docking port,-1,
domeLight1.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/Lights/domeLight1.cfg,50,domeLight1,Squad,0.002,Light,42.64479328,
elevon2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/wings/elevon2.cfg,550,elevon2,Squad,0.06,Wing,535.35,
elevon3.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/wings/elevon3.cfg,650,elevon3,Squad,0.08,Wing,713.8,
elevon5.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/wings/elevon5.cfg,800,elevon5,Squad,0.08,Wing,713.8,
part.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/KerbalEngineer/Parts/Engineer7500/part.cfg,150,Engineer7500,KerbalEngineer,0.005,Controller,258.3979328,
EngineerChip.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/KerbalEngineer/Parts/EngineerChip/EngineerChip.cfg,100,EngineerChip,KerbalEngineer,0.005,Controller,258.3979328,
skipperLiquidEngine.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/Engine/liquidEngineSkipper_v1/skipperLiquidEngine.cfg,5300,engineLargeSkipper,Squad,3,Engine,-1,
skipperLiquidEngine_v2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Engine/liquidEngineSkipper_v2/skipperLiquidEngine_v2.cfg,5300,engineLargeSkipper_v2,Squad,3,Engine,13679.93798,
EnginePlate_1p5.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Coupling/EnginePlate_1p5.cfg,250,EnginePlate1p5,SquadExpansion,0.14,Structural,291.2,
EnginePlate_2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Coupling/EnginePlate_2.cfg,300,EnginePlate2,SquadExpansion,0.25,Structural,520,
EnginePlate_3.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Coupling/EnginePlate_3.cfg,500,EnginePlate3,SquadExpansion,0.58,Structural,1206.4,
EnginePlate_4.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Coupling/EnginePlate_4.cfg,700,EnginePlate4,SquadExpansion,1,Structural,2080,
EnginePlate_5.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Coupling/EnginePlate_5.cfg,150,EnginePlate5,SquadExpansion,0.062,Structural,128.96,
EquiTriangle0.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Structural/EquiTriangle0.cfg,10,EquiTriangle0,SquadExpansion,0.01,Structural,20.8,
EquiTriangle0.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/zDeprecated/Parts/Structural/Panels_v1/EquiTriangle0.cfg,10,EquiTriangle0,SquadExpansion,0.01,Structural,-1,
EquiTriangle1.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Structural/EquiTriangle1.cfg,20,EquiTriangle1,SquadExpansion,0.04,Structural,83.2,
EquiTriangle1.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/zDeprecated/Parts/Structural/Panels_v1/EquiTriangle1.cfg,20,EquiTriangle1,SquadExpansion,0.04,Structural,-1,
EquiTriangle1p5.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Structural/EquiTriangle1p5.cfg,45,EquiTriangle1p5,SquadExpansion,0.085,Structural,176.8,
EquiTriangle1p5.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/zDeprecated/Parts/Structural/Panels_v1/EquiTriangle1p5.cfg,45,EquiTriangle1p5,SquadExpansion,0.085,Structural,-1,
EquiTriangle2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Structural/EquiTriangle2.cfg,60,EquiTriangle2,SquadExpansion,0.15,Structural,312,
EquiTriangle2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/zDeprecated/Parts/Structural/Panels_v1/EquiTriangle2.cfg,60,EquiTriangle2,SquadExpansion,0.15,Structural,-1,
Parachute.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Cargo/Parachute/Parachute.cfg,10,evaChute,Squad,0.004,Parachute,117.8,
Cylinder.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Cargo/Cylinder/Cylinder.cfg,50,evaCylinder,Squad,0.005,Structural,10.4,
Jetpack.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Cargo/Jetpack/Jetpack.cfg,25,evaJetpack,Squad,0.02,Controller,1033.591731,
RepairKit.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Cargo/RepairKit/RepairKit.cfg,75,evaRepairKit,Squad,0.005,Science Device,140.8244832,
evaScienceKit.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Cargo/ScienceKit/evaScienceKit.cfg,150,evaScienceKit,Squad,0.015,Science Device,422.4734496,
RadialTank_Capsule.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/FoilTanks/RadialTank_Capsule.cfg,25.58,externalTankCapsule,Squad,0.03375,Tank,70.2,
RadialTank_Capsule.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/FuelTank/FoilTanks_v1/RadialTank_Capsule.cfg,25.58,externalTankCapsule,Squad,0.03375,Tank,-1,
RadialTank_Round.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/FoilTanks/RadialTank_Round.cfg,40.64,externalTankRound,Squad,0.01375,Tank,28.6,
RadialTank_Round.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/FuelTank/FoilTanks_v1/RadialTank_Round.cfg,40.64,externalTankRound,Squad,0.01375,Tank,-1,
ToroidTank.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/FoilTanks/ToroidTank.cfg,119.46,externalTankToroid,Squad,0.0375,Tank,78,
ToroidTank.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/FuelTank/FoilTanks_v1/ToroidTank.cfg,119.46,externalTankToroid,Squad,0.0375,Fairing,-1,
fairingSize1.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/fairings/fairingSize1.cfg,300,fairingSize1,Squad,0.075,Fairing,2208.75,
fairingSize1p5.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Payload/fairingSize1p5.cfg,450,fairingSize1p5,SquadExpansion,0.15,Fairing,4417.5,
fairingSize2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/fairings/fairingSize2.cfg,600,fairingSize2,Squad,0.175,Fairing,5153.75,
fairingSize3.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Aero/fairings/fairingSize3.cfg,900,fairingSize3,Squad,0.475,Fairing,13988.75,
fairingSize4.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Payload/fairingSize4.cfg,1200,fairingSize4,SquadExpansion,0.8,Fairing,23560,
FanShroud_01.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/Aero/FanShroud_01.cfg,85,FanShroud_01,SquadExpansion,0.04,Structural,83.2,
FanShroud_02.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/Aero/FanShroud_02.cfg,175,FanShroud_02,SquadExpansion,0.13,Structural,270.4,
FanShroud_03.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/Serenity/Parts/Aero/FanShroud_03.cfg,325,FanShroud_03,SquadExpansion,0.42,Structural,873.6,
fireworksLauncherBig.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/Fireworks/fireworksLauncherBig.cfg,200,fireworksLauncherBig,Squad,0.03,Fireworks,1550.387597,
fireworksLauncherSmall.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/Fireworks/fireworksLauncherSmall.cfg,15,fireworksLauncherSmall,Squad,0.00125,Fireworks,64.5994832,
flagFlat.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/flags/flagFlat/flagFlat.cfg,7,flagPartFlat,Squad,0.00015,Structural,0.312,
flagSize0.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/flags/flagSize0/flagSize0.cfg,2,flagPartSize0,Squad,2.50E-05,Structural,5.20E-02,
flagSize1.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/flags/flagSize1/flagSize1.cfg,5,flagPartSize1,Squad,5.00E-05,Structural,1.04E-01,
flagSize1p5.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Utility/flags/flagSize1p5/flagSize1p5.cfg,7,flagPartSize1p5,SquadExpansion,0.000125,Structural,0.26,
flagSize2.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/flags/flagSize2/flagSize2.cfg,12,flagPartSize2,Squad,0.000225,Structural,0.468,
flagSize3.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Utility/flags/flagSize3/flagSize3.cfg,17,flagPartSize3,Squad,0.0005,Structural,1.04,
flagSize4.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/SquadExpansion/MakingHistory/Parts/Utility/flags/flagSize4/flagSize4.cfg,25,flagPartSize4,SquadExpansion,0.0009,Structural,1.872,
foldingRadLarge.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Thermal/FoldingRadiators/foldingRadLarge.cfg,9000,foldingRadLarge,Squad,1,Radiator,15765,
foldingRadMed.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Thermal/FoldingRadiators/foldingRadMed.cfg,2250,foldingRadMed,Squad,0.25,Radiator,3941.25,
foldingRadSmall.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Thermal/FoldingRadiators/foldingRadSmall.cfg,450,foldingRadSmall,Squad,0.05,Radiator,788.25,
FuelCell.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Resources/FuelCell/FuelCell.cfg,750,FuelCell,Squad,0.05,Fuelcell,2583.979328,
FuelCellArray.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/Resources/FuelCell/FuelCellArray.cfg,4500,FuelCellArray,Squad,0.24,Fuelcell,12403.10078,
fuelLine.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/CompoundParts/FuelLine/fuelLine.cfg,150,fuelLine,Squad,0.05,Structural,104,
fuelTankT400.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/Size1_Tanks/fuelTankT400.cfg,316.4,fuelTank,Squad,0.25,Tank,520,
fuelTankT400.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/FuelTank/fuelTankT400_v1/fuelTankT400.cfg,316.4,fuelTank,Squad,0.25,Tank,-1,
fuelTankT800.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/Parts/FuelTank/Size1_Tanks/fuelTankT800.cfg,432.8,fuelTank_long,Squad,0.5,Tank,1040,
fuelTankT800.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/FuelTank/fuelTankT800_v1/fuelTankT800.cfg,432.8,fuelTank_long,Squad,0.5,Tank,-1,
fuelTankX200-32.cfg,/home/oscar/Downloads/Kspaceconnect/ksp/GameData/Squad/zDeprecated/Parts/FuelTank/fuelTankX200-32/fuelTankX200-32.cfg,1531.2,fuelTank1-2,Squad,2,Tank,-1,
